,0_x,1_x,2_x,3_x,4_x,5_x,6_x,7_x,8_x,9_x,10_x,11_x,12_x,13_x,14_x,15_x,16_x,17_x,18_x,19_x,20_x,21_x,22_x,23_x
0_y,1.0,0.5834,0.413,0.1884,0.0178,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_y,0.1225,1.0,0.3391,0.0681,0.0064,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_y,0.0339,0.1487,1.0,0.0003,0.0002,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_y,0.9568,0.2346,0.0013,1.0,0.0269,0.0001,0.0003,0.0001,0.0002,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_y,0.3394,0.0597,0.0066,0.1505,1.0,0.0006,0.0034,0.0022,0.0041,0.0015,0.0006,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5_y,0.0465,0.0074,0.0049,0.028,0.0395,1.0,0.2614,0.1068,0.2766,0.2089,0.0796,0.0818,0.013,0.0022,0.0006,0.0011,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6_y,0.0829,0.0399,0.0389,0.0889,0.1271,0.9069,1.0,0.0531,0.4234,0.4307,0.2196,0.1831,0.0379,0.0079,0.0023,0.0039,0.0028,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7_y,0.0326,0.0124,0.0158,0.0401,0.0693,0.8775,0.417,1.0,0.3129,0.8822,0.3171,0.1728,0.0316,0.0065,0.003,0.0063,0.0051,0.0002,0.0,0.0,0.0,0.0,0.0,0.0
8_y,0.0361,0.0141,0.0159,0.0469,0.0967,0.7013,0.6384,0.1304,1.0,0.4754,0.1018,0.0731,0.0066,0.0005,0.0002,0.0005,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9_y,0.0138,0.0038,0.0033,0.0134,0.0308,0.9351,0.6634,0.5082,0.845,1.0,0.028,0.0362,0.0006,0.0,0.0,0.0001,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10_y,0.0243,0.0091,0.007,0.0275,0.0372,0.5995,0.7869,0.7953,0.3938,0.1172,1.0,0.3444,0.005,0.0004,0.0009,0.0015,0.0013,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
11_y,0.0114,0.0051,0.0048,0.0231,0.0436,0.4573,0.7923,0.765,0.4505,0.1663,0.4889,1.0,0.0008,0.0001,0.0012,0.0044,0.0035,0.0008,0.0,0.0,0.0,0.0,0.0,0.0
12_y,0.0085,0.0033,0.0039,0.0167,0.021,0.1931,0.4448,0.3771,0.1547,0.0259,0.0311,0.0059,1.0,0.0163,0.0314,0.0587,0.0228,0.01,0.0001,0.0,0.0,0.0,0.0,0.0
13_y,0.0127,0.0055,0.0081,0.0262,0.0277,0.1357,0.2103,0.1816,0.0645,0.0126,0.0117,0.0019,0.051,1.0,0.2715,0.387,0.1142,0.0396,0.0005,0.0,0.0,0.0,0.0,0.0
14_y,0.0423,0.0231,0.0365,0.0868,0.1006,0.2689,0.2458,0.2728,0.1456,0.0801,0.0809,0.0286,0.2337,0.6479,1.0,0.9738,0.3237,0.152,0.0012,0.0001,0.0,0.0,0.0,0.0
15_y,0.0832,0.0662,0.0961,0.1642,0.2125,0.5451,0.3964,0.5091,0.3315,0.2053,0.1914,0.1679,0.5346,0.9933,0.817,1.0,0.3511,0.0961,0.0004,0.0006,0.0003,0.0004,0.0,0.0
16_y,0.1845,0.1877,0.273,0.3394,0.3945,0.8638,0.6443,0.8835,0.6608,0.4412,0.3433,0.2653,0.5942,0.7806,0.7052,0.6263,1.0,0.1161,0.0005,0.0075,0.0078,0.014,0.0021,0.0001
17_y,0.1023,0.1338,0.2636,0.3283,0.4007,0.8169,0.7243,0.9353,0.6402,0.4821,0.3049,0.1965,0.4372,0.6371,0.4885,0.4317,0.7678,1.0,0.0003,0.0165,0.011,0.0243,0.0025,0.0
18_y,0.0615,0.0652,0.1399,0.1546,0.1519,0.2662,0.3378,0.3101,0.1806,0.1658,0.1101,0.0881,0.1697,0.2124,0.0915,0.0799,0.213,0.0094,1.0,0.954,0.6448,0.5143,0.0998,0.0042
19_y,0.0215,0.028,0.0716,0.0912,0.0887,0.1989,0.3291,0.2603,0.1754,0.1307,0.1018,0.0841,0.1542,0.256,0.1784,0.2079,0.5107,0.1573,0.9264,1.0,0.3423,0.3235,0.0445,0.0008
